Rank,Title,Type,Episodes,Start_Year,Score,Members
177,Tongari Boushi no Atelier,TV,13.0,2026,8.48,444321
178,Uchuu Kyoudai,TV,99.0,2012,8.48,212764
179,Xian Ni,ONA,180.0,2023,8.48,12799
180,Ansatsu Kyoushitsu 2nd Season,TV,25.0,2016,8.47,1589048
181,Kaoru Hana wa Rin to Saku,TV,13.0,2025,8.47,501209
182,Nichijou,TV,26.0,2011,8.47,995269
183,One Punch Man,TV,12.0,2015,8.47,3557827
184,Tian Guan Cifu Special,Special,1.0,2021,8.47,61829
185,Yakusoku no Neverland,TV,12.0,2019,8.47,2181250
186,Chihayafuru 3,TV,24.0,2019,8.46,159272
187,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,Movie,1.0,2019,8.46,446245
188,Rainbow: Nisha Rokubou no Shichinin,TV,26.0,2010,8.46,429188
189,Summertime Render,TV,25.0,2022,8.46,697241
190,Tian Guan Cifu Short Films,ONA,,2025,8.46,12471
191,Yuu☆Yuu☆Hakusho,TV,112.0,1992,8.46,762672
192,Banana Fish,TV,24.0,2018,8.45,977562
193,Chou Kaguya-hime!,ONA,1.0,2026,8.45,110971
194,Dorohedoro Season 2,ONA,11.0,2026,8.45,96444
195,Gintama: The Semi-Final,Special,2.0,2021,8.45,95483
196,Grand Blue,TV,12.0,2018,8.45,927522
197,Mo Dao Zu Shi: Xian Yun Pian,ONA,8.0,2019,8.45,120392
198,Nezha Zhi Mo Tong Nao Hai,Movie,1.0,2025,8.45,12876
199,Owarimonogatari,TV,12.0,2015,8.45,515834
200,Prism Rondo,ONA,20.0,2026,8.45,72276
201,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,Movie,1.0,2013,8.45,651203
202,Hunter x Hunter,TV,62.0,1999,8.44,656786
203,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,TV,24.0,2015,8.44,1272999
204,Mo Dao Zu Shi,ONA,15.0,2018,8.44,259030
205,Pluto,ONA,8.0,2023,8.44,263766
206,Zoku Owarimonogatari,TV,6.0,2019,8.44,256401
207,Golden Kamuy 3rd Season,TV,12.0,2020,8.43,205398
208,Haikyuu!!,TV,25.0,2014,8.43,2202199
209,Medalist 2nd Season,TV,9.0,2026,8.43,47079
210,Tenmaku no Jaadugar,TV,12.0,2026,8.43,82460
211,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,Movie,1.0,2019,8.43,491768
212,Chainsaw Man,TV,12.0,2022,8.42,2026968
213,Kono Oto Tomare! Part 2,TV,13.0,2019,8.42,206378
214,Koukaku Kidoutai: Stand Alone Complex,TV,26.0,2002,8.42,429853
215,Mushishi Zoku Shou: Odoro no Michi,TV,1.0,2014,8.42,112312
216,Natsume Yuujinchou Movie: Utsusemi ni Musubu,Movie,1.0,2018,8.42,85305
217,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,TV,12.0,2021,8.42,1106989
218,Saenai Heroine no Sodatekata Fine,Movie,1.0,2019,8.42,207694
219,Shingeki no Kyojin: Kuinaki Sentaku,OVA,2.0,2014,8.42,571095
220,Violet Evergarden: Recollections,TV,1.0,2021,8.42,50020
221,Bungou Stray Dogs 4th Season,TV,13.0,2023,8.41,368747
222,Gintama: Yorinuki Gintama-san on Theater 2D,Movie,2.0,2012,8.41,49216
223,Grand Blue Season 3,TV,12.0,2026,8.41,104268
224,Kamisama Hajimemashita: Kako-hen,OVA,4.0,2015,8.41,187791
225,Kimi ni Todoke 3rd Season,ONA,5.0,2024,8.41,121390
226,Mononoke,TV,12.0,2007,8.41,373365
227,Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,TV,16.0,2024,8.41,543422
228,Saiki Kusuo no Ψ-nan,TV,120.0,2016,8.41,1277096
229,Saiki Kusuo no Ψ-nan 2,TV,24.0,2018,8.41,734193
230,Spy x Family,TV,12.0,2022,8.41,1933667
231,Tian Guan Cifu,ONA,11.0,2020,8.41,180896
232,Doupo Cangqiong: Nian Fan,ONA,219.0,2022,8.4,12856
233,Golden Kamuy: Saishuushou,TV,13.0,2026,8.4,65652
234,Guangyin Zhi Wai,ONA,26.0,2025,8.4,2716
235,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,TV,12.0,2019,8.4,1971922
236,Karakai Jouzu no Takagi-san Movie,Movie,1.0,2022,8.4,98625
237,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,Movie,1.0,2019,8.4,902151
238,Natsume Yuujinchou Roku Specials,Special,2.0,2017,8.4,54598
239,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,Movie,1.0,2018,8.4,504241
240,Wu Liuqi: Xuanwu Guo Pian,ONA,10.0,2021,8.4,87233
241,Ashita no Joe,TV,79.0,1970,8.39,117451
242,Blue Giant,Movie,1.0,2023,8.39,51303
243,Dandadan,TV,12.0,2024,8.39,1025742
244,Girls & Panzer: Saishuushou Part 4,Movie,1.0,2023,8.39,28657
245,Houseki no Kuni,TV,12.0,2017,8.39,527346
246,Kimetsu no Yaiba,TV,26.0,2019,8.39,3506259
247,Made in Abyss Movie 2: Hourou Suru Tasogare,Movie,1.0,2019,8.39,168960
248,Mahou Shoujo Madoka★Magica,TV,12.0,2011,8.39,1432629
249,Major S5,TV,25.0,2009,8.39,76344
250,Cowboy Bebop: Tengoku no Tobira,Movie,1.0,2001,8.38,416586
251,Dandadan 2nd Season,TV,12.0,2025,8.38,592514
252,Josee to Tora to Sakana-tachi,Movie,1.0,2020,8.38,547034
253,Kaze ga Tsuyoku Fuiteiru,TV,23.0,2018,8.38,339892
254,Ling Long 2nd Season,ONA,12.0,2025,8.38,2293
