Rank,Title,Type,Episodes,Start_Year,Score,Members
1143,Id:Invaded,TV,13.0,2020,7.81,433637
1144,Jungle wa Itsumo Hare nochi Guu Deluxe,OVA,6.0,2002,7.81,14288
1145,Kara no Kyoukai Movie 4: Garan no Dou,Movie,1.0,2008,7.81,242132
1146,Kengan Ashura Season 2 Part 2,ONA,16.0,2024,7.81,32947
1147,Kidou Senshi Gundam: Senkou no Hathaway - Circe no Majo,Movie,1.0,2026,7.81,18123
1148,Little Witch Academia (TV),TV,25.0,2017,7.81,719561
1149,Lupin the IIIrd: Jigen Daisuke no Bohyou,Movie,1.0,2014,7.81,33679
1150,Maria-sama ga Miteru 3rd,OVA,5.0,2006,7.81,25501
1151,Mind Game,Movie,1.0,2004,7.81,98556
1152,New Initial D Movie: Legend 1 - Kakusei,Movie,1.0,2014,7.81,44901
1153,Nitian Xie Shen,ONA,30.0,2023,7.81,2867
1154,Shadows House,TV,13.0,2021,7.81,287817
1155,Shanhe Jian Xin,ONA,16.0,2021,7.81,24038
1156,Slayers Try,TV,26.0,1997,7.81,59846
1157,Somali to Mori no Kamisama,TV,12.0,2020,7.81,322246
1158,Tamon-kun Ima Docchi!?,TV,13.0,2026,7.81,103620
1159,Tasogare Otome x Amnesia,TV,12.0,2012,7.81,455099
1160,Tokyo Revengers: Tenjiku-hen,TV,13.0,2023,7.81,282673
1161,Working'!!,TV,13.0,2011,7.81,290583
1162,Yuru Yuri♪♪,TV,12.0,2012,7.81,211401
1163,Yuukoku no Moriarty OVA,OVA,2.0,2022,7.81,50446
1164,Break Blade Movie 5: Shisen no Hate,Movie,1.0,2011,7.8,57492
1165,Bungou Stray Dogs,TV,12.0,2016,7.8,1573642
1166,Dance Dance Danseur,TV,11.0,2022,7.8,106512
1167,Eikoku Koi Monogatari Emma: Molders-hen,TV,12.0,2007,7.8,42997
1168,Gochuumon wa Usagi desu ka?? Dear My Sister,Movie,1.0,2017,7.8,46453
1169,Goku Sayonara Zetsubou Sensei,OVA,3.0,2008,7.8,79922
1170,Haikyuu!! (OVA),OVA,10.0,2020,7.8,36778
1171,InuYasha Movie 3: Tenka Hadou no Ken,Movie,1.0,2003,7.8,120348
1172,Lucky☆Star: Original na Visual to Animation,OVA,1.0,2008,7.8,153740
1173,Lupin III: Part II,TV,155.0,1977,7.8,39776
1174,Lupin III: The First,Movie,1.0,2019,7.8,48815
1175,Magi: Sinbad no Bouken,OVA,5.0,2014,7.8,148740
1176,Mahoujin Guruguru (2017),TV,24.0,2017,7.8,35335
1177,Meitantei Conan Movie 08: Ginyoku no Time Travel Recap,Movie,1.0,2004,7.8,23125
1178,MF Ghost 2nd Season,TV,12.0,2024,7.8,52186
1179,Ojamajo Doremi Dokkaan!,TV,51.0,2002,7.8,19730
1180,One Piece Movie 06: Omatsuri Danshaku to Himitsu no Shima,Movie,1.0,2005,7.8,123906
1181,Oomuro-ke: Dear Friends,Movie,1.0,2024,7.8,10748
1182,Sekaiichi Hatsukoi 2,TV,12.0,2011,7.8,178284
1183,Seto no Hanayome OVA,OVA,2.0,2008,7.8,56517
1184,The Last: Naruto the Movie,Movie,1.0,2014,7.8,677976
1185,Tokyo Revengers,TV,24.0,2021,7.8,1427750
1186,Trigun Stampede,TV,12.0,2023,7.8,241192
1187,Xian Ni Movie: Shenlin Zhi Zhan,Movie,1.0,2025,7.8,1883
1188,Baby Steps,TV,25.0,2014,7.79,167158
1189,Blue Period,TV,12.0,2021,7.79,538460
1190,Change!! Getter Robo: Sekai Saigo no Hi,OVA,13.0,1998,7.79,18606
1191,Clevatess: Majuu no Ou to Akago to Shikabane no Yuusha,TV,12.0,2025,7.79,218941
1192,Digimon Adventure,TV,54.0,1999,7.79,429815
1193,Doraemon (2005),TV,,2005,7.79,23825
1194,Dragon Ball Kai,TV,97.0,2009,7.79,439937
1195,Ginga Tetsudou 999,TV,113.0,1978,7.79,47283
1196,Hibike! Euphonium Movie 3: Chikai no Finale,Movie,1.0,2019,7.79,87166
1197,Jormungand,TV,12.0,2012,7.79,402948
1198,Kokoro ga Sakebitagatterunda.,Movie,1.0,2015,7.79,358167
1199,Little Witch Academia,Movie,1.0,2013,7.79,327051
1200,Macross F Movie 1: Itsuwari no Utahime,Movie,1.0,2009,7.79,33253
1201,Meitantei Conan Movie 07: Meikyuu no Crossroad,Movie,1.0,2003,7.79,58019
1202,Meitantei Conan Movie 09: Suihei Senjou no Strategy,Movie,1.0,2005,7.79,55582
1203,MF Ghost 3rd Season,TV,13.0,2026,7.79,36527
1204,Seikai no Senki II,TV,10.0,2001,7.79,25916
1205,Taishou Otome Otogibanashi,TV,12.0,2021,7.79,177656
1206,Tanaka-kun wa Itsumo Kedaruge,TV,12.0,2016,7.79,519576
1207,Tokyo Ghoul,TV,12.0,2014,7.79,3091301
1208,Umibe no Étranger,Movie,1.0,2020,7.79,224823
1209,Wolf's Rain,TV,26.0,2003,7.79,356776
1210,"Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan: Dakara, Shishunki wa Owarazu ni, Seishun wa Tsuzuiteiku.",OVA,1.0,2023,7.79,132604
1211,You Shou Yan,ONA,12.0,2023,7.79,2578
1212,Beastars,TV,12.0,2019,7.78,969618
1213,Chainsaw Man Recap,ONA,2.0,2025,7.78,19095
1214,Coquelicot-zaka kara,Movie,1.0,2011,7.78,232180
1215,Emiya-san Chi no Kyou no Gohan,ONA,13.0,2018,7.78,146258
1216,"Haikyuu!! vs. ""Akaten""",OVA,1.0,2016,7.78,105334
1217,Hidamari Sketch x SP,TV,2.0,2011,7.78,17443
1218,Hoozuki no Reitetsu,TV,13.0,2014,7.78,141475
1219,Inazuma Eleven,TV,127.0,2008,7.78,243849
1220,Jin-Rou,Movie,1.0,2000,7.78,209541
1221,Kaijuu 8-gou 2nd Season,TV,11.0,2025,7.78,390602
1222,Kidou Senshi Gundam,TV,43.0,1979,7.78,154529
1223,Kidou Senshi Gundam III: Meguriai Sora-hen,Movie,1.0,1982,7.78,42743
1224,Kobayashi-san Chi no Maid Dragon S: Nippon no Omotenashi - Attend wa Dragon desu,Special,1.0,2022,7.78,85077
1225,Kuroko no Basket Movie 2: Winter Cup - Namida no Saki e,Movie,1.0,2016,7.78,44397
1226,Kuroko no Basket: Tip Off,Special,1.0,2013,7.78,113995
1227,Langlang Shan Xiao Yaoguai,Movie,1.0,2025,7.78,1352
1228,Last Exile,TV,26.0,2003,7.78,190279
1229,Magic Kaito,TV,12.0,2010,7.78,79573
1230,Meitantei Conan Movie 12: Senritsu no Full Score,Movie,1.0,2008,7.78,52279
1231,Meitantei Conan Movie 24: Hiiro no Dangan,Movie,1.0,2021,7.78,26288
1232,Mushoku Tensei: Isekai Ittara Honki Dasu - Eris no Goblin Toubatsu,Special,1.0,2022,7.78,220743
1233,Nige Jouzu no Wakagimi,TV,12.0,2024,7.78,217166
1234,Nodame Cantabile: Finale - Mine to Kiyora no Saikai,Special,1.0,2010,7.78,47196
1235,Ranma ½,TV,161.0,1989,7.78,287180
1236,Rurouni Kenshin: Meiji Kenkaku Romantan - Kyoto Douran,TV,23.0,2024,7.78,65181
1237,Saint Seiya: Meiou Hades Meikai-hen,OVA,12.0,2005,7.78,55848
1238,Saint☆Oniisan (Movie),Movie,1.0,2013,7.78,104964
1239,Shin Kidou Senki Gundam Wing: Endless Waltz Tokubetsu-hen,Movie,1.0,1998,7.78,66825
1240,Aggressive Retsuko (ONA) 3rd Season,ONA,10.0,2020,7.77,100353
1241,Aria the Crepuscolo,Movie,1.0,2021,7.77,15626
1242,BanG Dream! Garupa☆Pico: Oomori,ONA,26.0,2020,7.77,13868
1243,Bishoujo Senshi Sailor Moon Crystal Season III,TV,13.0,2016,7.77,68903
1244,Break Blade Movie 3: Kyoujin no Ato,Movie,1.0,2010,7.77,61022
1245,"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen",Special,1.0,2009,7.77,278738
1246,Class de 2-banme ni Kawaii Onnanoko to Tomodachi ni Natta,TV,12.0,2026,7.77,176818
1247,Code Geass: Hangyaku no Lelouch R2 Special Edition - Zero Requiem,Special,1.0,2009,7.77,52167
1248,Free! Movie 4: The Final Stroke - Zenpen,Movie,1.0,2021,7.77,65244
1249,Gochuumon wa Usagi desu ka??,TV,12.0,2015,7.77,143031
1250,Gochuumon wa Usagi desu ka?? Sing for You,OVA,1.0,2019,7.77,29591
1251,Hadashi no Gen,Movie,1.0,1983,7.77,62270
1252,Innocence,Movie,1.0,2004,7.77,181725
1253,Inu-Ou,Movie,1.0,2022,7.77,43479
1254,Kekkai Sensen & Beyond,TV,12.0,2017,7.77,481187
1255,"Komi-san wa, Comyushou desu.",TV,12.0,2021,7.77,1031504
1256,Kuroko no Basket Movie 1: Winter Cup - Kage to Hikari,Movie,1.0,2016,7.77,49193
1257,Liang Bu Yi,ONA,24.0,2021,7.77,14789
1258,Lupin the Third: Mine Fujiko to Iu Onna,TV,13.0,2012,7.77,71139
1259,Mahoutsukai no Yome Season 2,TV,12.0,2023,7.77,223931
1260,Mashle: Shinkakusha Kouho Senbatsu Shiken-hen,TV,12.0,2024,7.77,530215
1261,Master Keaton OVA,OVA,15.0,1999,7.77,12655
1262,Saint Seiya,TV,114.0,1986,7.77,206859
1263,Shiguang Dailiren Fanwai Pian: Biwu Zhaoqin,ONA,1.0,2021,7.77,57400
1264,Tianbao Fuyao Lu 2nd Season,ONA,13.0,2021,7.77,4976
1265,You Shou Yan 2nd Season,ONA,12.0,2023,7.77,1376
1266,Yuru Yuri Nachuyachumi!+,TV,2.0,2015,7.77,59776
1267,Akagami no Shirayuki-hime,TV,12.0,2015,7.76,748636
1268,Beastars Final Season,ONA,12.0,2024,7.76,118519
1269,Bishoujo Senshi Sailor Moon,TV,46.0,1992,7.76,419924
1270,Bishoujo Senshi Sailor Moon Eternal Movie 2,Movie,1.0,2021,7.76,31274
1271,Black Jack,OVA,12.0,1993,7.76,47243
1272,Boku no Kokoro no Yabai Yatsu Movie,Movie,1.0,2026,7.76,43921
1273,Charlotte,TV,13.0,2015,7.76,1788004
1274,Da Zhuzai: Nian Fan,ONA,52.0,2023,7.76,3622
1275,Fanren Xiu Xian Zhuan,ONA,17.0,2020,7.76,8814
1276,Gokinjo Monogatari,TV,50.0,1995,7.76,32731
1277,Hibi wa Sugiredo Meshi Umashi,TV,12.0,2025,7.76,54451
1278,Hug tto! Precure♡Futari wa Precure Movie: All Stars Memories,Movie,1.0,2018,7.76,5462
1279,JoJo no Kimyou na Bouken: Phantom Blood,Movie,1.0,2007,7.76,76061
1280,Kubikiri Cycle: Aoiro Savant to Zaregotozukai,OVA,8.0,2016,7.76,115155
1281,Love Live! School Idol Project 2nd Season,TV,13.0,2014,7.76,274578
1282,Lucky☆Star,TV,24.0,2007,7.76,705126
1283,Maria-sama ga Miteru 4th,TV,13.0,2009,7.76,25082
1284,Mujin Wakusei Survive,TV,52.0,2003,7.76,33656
1285,Psycho-Pass 3: First Inspector,ONA,3.0,2020,7.76,113498
1286,Saenai Heroine no Sodatekata ♭,TV,11.0,2017,7.76,403222
1287,Seishun Buta Yarou wa Odekake Sister no Yume wo Minai,Movie,1.0,2023,7.76,215495
1288,Seitokai Yakuindomo Movie 2,Movie,1.0,2021,7.76,37407
1289,"Tadaima, Okaeri",TV,12.0,2024,7.76,49035
1290,Taiyou no Ko Esteban,TV,39.0,1982,7.76,16327
1291,Tantei Gakuen Q,TV,45.0,2003,7.76,38257
1292,Texhnolyze,TV,22.0,2003,7.76,296751
1293,Tonikaku Kawaii: Joshikou-hen,ONA,4.0,2023,7.76,80894
1294,Urusei Yatsura,TV,195.0,1981,7.76,100530
1295,BanG Dream! Garupa☆Pico,ONA,26.0,2018,7.75,24648
1296,Beastars 2nd Season,TV,12.0,2021,7.75,501455
1297,Cardcaptor Sakura: Clear Card-hen Prologue - Sakura to Futatsu no Kuma,OVA,1.0,2017,7.75,47542
1298,Chuan Shu Zijiu Zhinan,ONA,10.0,2020,7.75,23762
1299,City Hunter '91,TV,13.0,1991,7.75,29532
1300,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Meikyuu-hen,TV,11.0,2022,7.75,417616
1301,Edogawa Conan Shissou Jiken: Shijou Saiaku no Futsukakan,TV,1.0,2014,7.75,14908
1302,Free! Take Your Marks,Movie,1.0,2017,7.75,92888
1303,Gakkou no Kaidan,TV,19.0,2000,7.75,257618
1304,Gakuen Babysitters Special,Special,1.0,2018,7.75,50147
1305,Genshiken 2,TV,12.0,2007,7.75,89606
1306,Gundam Build Fighters,TV,25.0,2013,7.75,82398
1307,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen - Ryoushu no Youjo,TV,24.0,2026,7.75,90803
1308,Jujutsu Kaisen 2nd Season Recaps,TV,2.0,2023,7.75,38923
1309,Kara no Kyoukai Movie 2: Satsujin Kousatsu (Zen),Movie,1.0,2007,7.75,257934
1310,Luo Xiaohei Zhanji,ONA,28.0,2011,7.75,8215
1311,Lupin III vs. Meitantei Conan,TV,1.0,2009,7.75,39501
1312,Mofa Gongzhu de Xiao Fannao,ONA,16.0,2025,7.75,53181
1313,Overlord II,TV,13.0,2018,7.75,1145806
1314,Overlord Movie 3: Sei Oukoku-hen,Movie,1.0,2024,7.75,126171
1315,Saiyuuki Gaiden,OVA,3.0,2011,7.75,14857
1316,Saraiya Goyou,TV,12.0,2010,7.75,101995
1317,Sekaiichi Hatsukoi: Valentine-hen,Movie,1.0,2014,7.75,44844
1318,Shiki Specials,Special,2.0,2011,7.75,77437
1319,Shounan Bakusouzoku,OVA,12.0,1986,7.75,8620
1320,Toshokan Sensou: Kakumei no Tsubasa,Movie,1.0,2012,7.75,26352
1321,Toujima Tanzaburou wa Kamen Rider ni Naritai,TV,24.0,2025,7.75,69570
1322,Zan Sayonara Zetsubou Sensei Bangaichi,OVA,2.0,2009,7.75,42990
1323,Zhan Shen: Fanchen Shenyu II,ONA,15.0,2026,7.75,1652
1324,BanG Dream! Garupa☆Pico Fever!,ONA,26.0,2021,7.74,7903
1325,BanG Dream! Movie: Episode of Roselia - I: Yakusoku,Movie,1.0,2021,7.74,13833
1326,Bishoujo Senshi Sailor Moon R,TV,43.0,1993,7.74,173844
1327,Bishoujo Senshi Sailor Moon R: The Movie,Movie,1.0,1993,7.74,73044
1328,Colorful (Movie),Movie,1.0,2010,7.74,217482
1329,Devilman: Crybaby,ONA,10.0,2018,7.74,1295399
1330,Doraemon Movie 44: Nobita no E Sekai Monogatari,Movie,1.0,2025,7.74,2149
1331,Dragon Ball Kai (2014),TV,61.0,2014,7.74,220538
1332,Evangelion: Housou 30-shuunen Kinen Tokubetsu Kougyou,Special,1.0,2026,7.74,8038
1333,Ghost Hunt,TV,25.0,2006,7.74,244640
1334,Girls & Panzer: Kore ga Hontou no Anzio-sen desu!,OVA,1.0,2014,7.74,55973
1335,Golden Time,TV,24.0,2013,7.74,1152990
1336,Hidamari Sketch x 365 Specials,Special,3.0,2009,7.74,19431
1337,High Score Girl,TV,12.0,2018,7.74,285748
1338,Isekai Ojisan,TV,13.0,2022,7.74,439548
1339,Kidou Keisatsu Patlabor: On Television,TV,47.0,1989,7.74,47831
1340,Kidou Senshi Gundam SEED,TV,50.0,2002,7.74,187383
1341,Kimi ga Shinu made Koi wo Shitai,TV,13.0,2026,7.74,87688
1342,Kuroko no Basket: Last Game NG-shuu,Special,1.0,2017,7.74,37956
1343,Little Witch Academia: Mahoujikake no Parade,Movie,1.0,2015,7.74,180047
1344,Luo Xiaohei Zhanji: Zhongsheng Zhi Men,ONA,12.0,2021,7.74,2546
1345,Mairimashita! Iruma-kun,TV,23.0,2019,7.74,580926
1346,Meitantei Conan Movie 19: Gouka no Himawari,Movie,1.0,2015,7.73,45308
1347,Meitantei Conan OVA 10: Kid in Trap Island,OVA,1.0,2010,7.74,20016
1348,Neko to Ryuu,TV,12.0,2026,7.74,41090
1349,Panty & Stocking with Garterbelt,TV,13.0,2010,7.74,452515
1350,Pokemon: The Origin,TV,4.0,2013,7.74,248927
1351,Ranma ½ (2024) 2nd Season,TV,12.0,2024,7.74,84109
1352,Ranma ½ OVA,OVA,6.0,1993,7.74,39200
1353,Seitokai Yakuindomo OVA,OVA,8.0,2011,7.74,137640
1354,Shin Kidou Senki Gundam Wing: Endless Waltz,OVA,3.0,1997,7.74,52158
1355,Shingeki no Kyojin: The Final Season Specials,Special,2.0,2021,7.74,21324
1356,Tentai Senshi Sunred,TV,26.0,2008,7.74,23449
1357,The iDOLM@STER Cinderella Girls: U149,TV,12.0,2023,7.74,19668
1358,Udon no Kuni no Kiniro Kemari,TV,12.0,2016,7.74,145805
1359,Yamada-kun to Lv999 no Koi wo Suru,TV,13.0,2023,7.74,574010
1360,Yoru no Kurage wa Oyogenai,TV,12.0,2024,7.74,137399
1361,Zhe Tian,ONA,208.0,2023,7.74,4434
1362,Bai Yao Pu: Jingshi Pian,ONA,12.0,2022,7.73,4673
1363,Claymore,TV,26.0,2007,7.73,731498
1364,Date A Live IV,TV,12.0,2022,7.73,295406
1365,Death Note: Rewrite,TV,2.0,2007,7.73,228730
1366,Doupo Cangqiong Special 2: Sha Zhi Lan Ge,Special,3.0,2019,7.73,5171
1367,Huangjin Tingyuan: Dongri Li de Xinnian Yuanwang,ONA,2.0,2023,7.73,4154
1368,Kino no Tabi: The Beautiful World - Nanika wo Suru Tame ni - Life Goes On.,Movie,1.0,2005,7.73,63583
1369,Kumichou Musume to Sewagakari,TV,12.0,2022,7.73,266853
1370,Love Live! Nijigasaki Gakuen School Idol Doukoukai: Kanketsu-hen Part 2,Movie,1.0,2025,7.73,5878
1371,Macross Plus,OVA,4.0,1994,7.73,57298
1372,Macross Plus Movie Edition,Movie,1.0,1995,7.73,21128
1373,Memories,Movie,3.0,1995,7.73,163758
1374,Shaman King,TV,64.0,2001,7.73,387342
1375,Shokugeki no Souma: Shin no Sara,TV,12.0,2019,7.73,679214
1376,Soukou Kihei Votoms,TV,52.0,1983,7.73,30708
1377,Uchuu Senkan Yamato 2199: Hoshimeguru Hakobune,Movie,1.0,2014,7.73,16637
1378,Undead Unluck,TV,24.0,2023,7.73,358909
1379,Aggressive Retsuko (ONA) 2nd Season,ONA,10.0,2019,7.72,128492
1380,Ani ni Tsukeru Kusuri wa Nai! 2,TV,24.0,2018,7.72,56325
1381,Bakuten!! Movie,Movie,1.0,2022,7.72,22397
1382,BanG Dream! Film Live,Movie,1.0,2019,7.72,15165
1383,Cheng He Titong 2nd Season,ONA,24.0,2026,7.72,2173
1384,Chi's Sweet Home: Atarashii Ouchi,TV,104.0,2009,7.72,32653
1385,Chibi Maruko-chan,TV,142.0,1990,7.72,14355
1386,Clevatess II: Majuu no Ou to Itsuwari no Yuusha Denshou,TV,13.0,2026,7.72,85437
1387,Daicon Opening Animations,Special,2.0,1981,7.72,23931
1388,Enen no Shouboutai,TV,24.0,2019,7.72,1570692
1389,Enen no Shouboutai: San no Shou,TV,12.0,2025,7.72,337263
1390,Free! Movie 3: Road to the World - Yume,Movie,1.0,2019,7.72,32388
1391,Grisaia no Rakuen,TV,10.0,2015,7.72,440015
1392,Hakumei to Mikochi,TV,12.0,2018,7.72,73571
1393,Higashi no Eden,TV,11.0,2009,7.72,602178
1394,InuYasha: Kuroi Tessaiga,Special,1.0,2008,7.72,40176
1395,Kageki Shoujo!!,TV,13.0,2021,7.72,94264
1396,Kokoro Connect,TV,13.0,2012,7.72,897189
1397,Kyou kara Maou! 3rd Series,TV,39.0,2008,7.72,38042
1398,Kyoukai no Kanata Movie 1: I'll Be Here - Kako-hen,Movie,1.0,2015,7.72,179643
1399,Mono,TV,12.0,2025,7.72,53444
1400,Neko no Ongaeshi,Movie,1.0,2002,7.72,309416
1401,Princess Connect! Re:Dive Season 2,TV,12.0,2022,7.72,143989
1402,Princess Principal: Crown Handler 2,Movie,1.0,2021,7.72,19899
1403,Rozen Maiden: Ouvertüre,TV,2.0,2006,7.72,64510
1404,Shen Mu: Nian Fan,ONA,52.0,2025,7.72,1258
1405,Shunkashuutou Daikousha: Haru no Mai,TV,14.0,2026,7.72,89105
1406,Slayers,TV,26.0,1995,7.72,156342
1407,Tetsuwan Birdy Decode:02,TV,12.0,2009,7.72,56398
1408,Tonikaku Kawaii: Seifuku,Special,1.0,2022,7.72,115176
1409,Uchuu Kaizoku Captain Herlock,TV,42.0,1978,7.72,44100
1410,Ueki no Housoku,TV,51.0,2005,7.72,127049
1411,Xingchen Bian 5th Season,ONA,28.0,2022,7.72,2978
1412,Yao Shen Ji 7th Season,ONA,52.0,2023,7.72,3243
1413,"Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page",OVA,1.0,2016,7.71,86578
1414,Arakawa Under the Bridge x Bridge,TV,13.0,2010,7.71,174213
1415,Berserk: Ougon Jidai-hen I - Haou no Tamago,Movie,1.0,2012,7.71,249906
1416,Date A Live V,TV,12.0,2024,7.71,148049
1417,"Doukyonin wa Hiza, Tokidoki, Atama no Ue.",TV,12.0,2019,7.71,214542
1418,Dragon Quest: Dai no Daibouken (2020),TV,100.0,2020,7.71,81624
1419,Fanren Xiu Xian Zhuan: Chongzhi Ban,ONA,21.0,2023,7.71,1819
1420,Fate/Grand Order: Shuukyoku Tokuiten - Kani Jikan Shinden Solomon,Movie,1.0,2021,7.71,91149
1421,Final Fantasy VII: Advent Children,Movie,1.0,2005,7.71,221017
1422,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri Part 2",TV,12.0,2016,7.71,611448
1423,Given Movie 2: Hiiragi Mix Specials,Movie,4.0,2024,7.71,3128
1424,Isekai no Seikishi Monogatari,OVA,13.0,2009,7.71,217966
1425,Keroro Gunsou,TV,358.0,2004,7.71,84683
1426,Kidou Senshi Gundam: Gyakushuu no Char,Movie,1.0,1988,7.71,60721
1427,Koukaku Kidoutai: Stand Alone Complex - Solid State Society 3D,Movie,1.0,2011,7.71,18098
1428,Kyoukai no Kanata,TV,12.0,2013,7.71,1253831
1429,Ling Long: Incarnation Final Chapter,ONA,2.0,2021,7.71,2887
1430,Monogatari Series: Off & Monster Season - Zankoku Douwa: Utsukushi-hime,ONA,1.0,2024,7.71,13003
1431,Princess Principal: Crown Handler 3,Movie,1.0,2023,7.71,14889
1432,Princess Sara,TV,46.0,1985,7.71,24395
1433,Psycho-Pass: Sinners of the System Case.3 - Onshuu no Kanata ni＿＿,Movie,1.0,2019,7.71,112011
1434,Saiyuuki Reload: Burial,OVA,3.0,2007,7.71,14946
1435,Shiki,TV,22.0,2010,7.71,655361
1436,Shoujo Kakumei Utena: Adolescence Mokushiroku,Movie,1.0,1999,7.71,63206
1437,Sidonia no Kishi: Daikyuu Wakusei Seneki,TV,12.0,2015,7.71,126683
1438,Tamayura: Sotsugyou Shashin Part 1 - Kizashi,Movie,1.0,2015,7.71,14131
1439,Tegamibachi Reverse,TV,25.0,2010,7.71,67641
1440,Tensei shitara Slime Datta Ken 3rd Season,TV,24.0,2024,7.71,505243
1441,Tenshi no Tamago,OVA,1.0,1985,7.71,190654
1442,Tiger & Bunny Movie 2: The Rising,Movie,1.0,2014,7.71,34655
1443,Tsuki ga Michibiku Isekai Douchuu,TV,12.0,2021,7.71,575184
1444,Tunshi Xingkong Movie: Juezhan Yuanshi Xing,Movie,1.0,2026,7.71,1137
1445,Watashi no Ashinaga Ojisan,TV,40.0,1990,7.71,19782
1446,Xingchen Bian 4th Season,ONA,16.0,2022,7.71,3524
1447,Yamato Nadeshiko Shichihenge♥,TV,25.0,2006,7.71,173285
1448,Zhe Tian Movie: Bei Guan Zhan Wang Teng,Movie,1.0,2026,7.71,861
1449,Aikatsu Stars!,TV,100.0,2016,7.7,22642
1450,Bishoujo Senshi Sailor Moon S: Kaguya-hime no Koibito,Movie,1.0,1994,7.7,58735
1451,Break Blade Movie 2: Ketsubetsu no Michi,Movie,1.0,2010,7.7,64150
1452,Chuunibyou demo Koi ga Shitai!,TV,12.0,2012,7.7,1482387
1453,Doraemon Movie 27: Nobita no Shin Makai Daibouken - 7-nin no Mahoutsukai,Movie,1.0,2007,7.7,13153
1454,Fate/Grand Carnival,OVA,4.0,2020,7.7,63490
1455,Isekai Shokudou 2,TV,12.0,2021,7.7,119160
1456,Jinrui wa Suitai Shimashita,TV,12.0,2012,7.7,203073
1457,Joshikousei no Mudazukai,TV,12.0,2019,7.7,138448
1458,Kuroko no Basket 2nd Season NG-shuu,Special,9.0,2014,7.7,70085
1459,Ling Long: Incarnation Special,Special,1.0,2021,7.7,2446
1460,Lycoris Recoil: Friends Are Thieves of Time.,ONA,6.0,2025,7.7,62158
1461,Meitantei Conan Movie 16: 11-ninme no Striker,Movie,1.0,2012,7.7,49461
1462,Nezha Zhi Mo Tong Jiang Shi,Movie,1.0,2019,7.7,22984
1463,Noragami OVA,OVA,2.0,2014,7.7,341632
1464,One Piece: Episode of Sabo - 3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru Ishi,TV,1.0,2015,7.7,45458
1465,One Punch Man: Road to Hero,OVA,1.0,2015,7.7,347032
1466,Overlord Movie 2: Shikkoku no Eiyuu,Movie,1.0,2017,7.7,98665
1467,Pokemon Concierge,ONA,4.0,2023,7.7,19001
1468,Saint Seiya: Meiou Hades Juuni Kyuu-hen - Yomigaerishi Gold Saint-tachi no Shinwa,Special,2.0,2003,7.7,10774
1469,School Rumble: Ichi Gakki Hoshuu,OVA,2.0,2005,7.7,62528
1470,Sword Art Online: Progressive Movie - Kuraki Yuuyami no Scherzo,Movie,1.0,2022,7.7,144695
1471,Tomo-chan wa Onnanoko!,TV,13.0,2023,7.7,529357
1472,Tomodachi Game,TV,12.0,2022,7.7,507129
1473,Uma Musume: Pretty Derby Season 3,TV,13.0,2023,7.7,70848
1474,Uramichi Oniisan,TV,13.0,2021,7.7,274981
1475,Ushiro no Shoumen Daare,Movie,1.0,1991,7.7,16066
1476,"Watashi ga Koibito ni Nareru Wake Nai jan, Muri Muri! (※Muri ja Nakatta!?)",TV,12.0,2025,7.7,114206
1477,Wind Breaker,TV,13.0,2024,7.7,484352
1478,Yao Shen Ji 8th Season,ONA,52.0,2024,7.7,2303
1479,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou,TV,6.0,2017,7.7,49392
1480,Aria the Animation,TV,13.0,2005,7.69,180656
1481,BanG Dream! 5th Anniversary Animation: CiRCLE Thanks Party!,ONA,2.0,2022,7.69,5868
1482,Fruits Basket,TV,26.0,2001,7.69,571708
1483,Gekkan Shoujo Nozaki-kun Specials,Special,6.0,2014,7.69,146621
1484,Haikyuu!! Lev Genzan!,OVA,1.0,2015,7.69,147313
1485,Hakuouki Movie 2: Shikon Soukyuu,Movie,1.0,2014,7.69,24620
1486,Hanasakeru Seishounen,TV,39.0,2009,7.69,73810
1487,Hataraku Maou-sama!,TV,13.0,2013,7.69,1670041
1488,Hibike! Euphonium: Ensemble Contest-hen,Movie,1.0,2023,7.69,38452
1489,IDOLiSH7,TV,17.0,2018,7.69,79534
1490,Kakushigoto Movie,Movie,1.0,2021,7.69,45226
1491,Kidou Senshi Gundam Unicorn RE:0096,TV,22.0,2016,7.69,40358
1492,Kindaichi Shounen no Jikenbo Returns 2nd Season,TV,22.0,2015,7.69,13296
1493,"Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai",Special,1.0,2017,7.69,238759
1494,Kore Kaite Shine,TV,12.0,2026,7.69,18538
1495,Kyousou Giga (TV),TV,10.0,2013,7.69,212226
1496,Little Busters! EX,Special,8.0,2014,7.69,59242
1497,Muumindani no Suisei,Movie,1.0,1992,7.69,12469
1498,Naruto: Shippuuden Movie 6 - Road to Ninja,Movie,1.0,2012,7.69,385190
1499,New Game!!,TV,12.0,2017,7.69,273413
